,sentence,polarity,happiness,sadness,anger,surprise,disgust,fear
hh04W3xXa5s[0],this is sp another of my favorite albums sp now you might,1.0,0.0,0.33,0.0,0.0,0.0,0.0
hh04W3xXa5s[1],albums sp now you might wonder why are you buying your favorite albums again sp i have multiple,1.0,0.33,0.0,0.0,0.0,0.0,0.0
hh04W3xXa5s[2],albums again sp i have multiple copies of sp albums sp like this sp that i always misplace sp or that i sp burned onto one sp system sp and then lost the cd sp this,-0.33,0.67,0.0,0.0,0.0,0.0,0.0
GdFP_p4eQX0[0],businesses sp they are often times called micro enterprise sp or micro enterprise lenders sp good,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GdFP_p4eQX0[1],sp today i'm going to talk to you about sp how to get a loan just by having bad credit sp,0.0,0.0,0.67,0.0,0.0,0.0,0.0
GdFP_p4eQX0[2],credit sp so the first sp point of advice sp is to clear up the credit sp that is bad sp,-0.33,0.0,0.0,0.33,0.0,0.0,0.0
GdFP_p4eQX0[3],sp time is really the best way sp to resolve any poor credit issues sp,0.67,0.33,0.0,0.0,0.0,0.0,0.0
GdFP_p4eQX0[4],sp there are however sp non traditional lending places sp that you can contact sp in order to find loans sp,0.33,0.33,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[0],i'm sp shawn murphy sp i'm a graduate sp from sp sociology program at trent university durham sp the sp former president of the trent durham sp student association sp the sp year,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[1],association sp the sp year prior to that i was vice president of university affairs sp second,0.67,0.33,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[2],sp trent university durham sp i'm sp pretty sure every sp bit of marketing sp for you says it's sp a sp tight knit community sp and sp the fact that's like an ongoing trend sp ongoing response means it's sp true sp trent,2.0,1.67,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[3],true sp trent university really excels at making sure that you have sp great connections sp with sp absolutely sp every person that's sp in your class sp as well sp as sp your professors sp the administration sp all levels sp you get to know sp everything about a university likes sp us a very easy basis sp it's a fantastic sp network sp,2.67,1.67,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[4],affairs sp second year i decided to get involved sp as possible and i joined the board of directors sp becoming the director sp for sp sociology sp,0.33,0.33,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[5],sp i attended many of the black sp history month events i actually got to present sp some of my sp research sp at sp two of them sp some of sp the,0.33,0.0,0.67,0.0,0.67,0.0,0.33
4iG0ffmnCOw[6],at sp two of them sp some of sp the major benefits of getting involved i definitely noticed well first of all i got to sp meet a lot of great people sp i got to really develop a lot of sp skills that i wouldn't have been able to otherwise sp it's,2.33,2.0,0.0,0.0,0.67,0.0,0.0
4iG0ffmnCOw[7],otherwise sp it's sp not too often that someone sp in their sp early twenties sp is able to look over an sp entire company's sp budget just,0.33,0.33,0.0,0.0,0.0,0.0,0.67
4iG0ffmnCOw[8],budget just sp decisions like that those are sp crucial sp and they look great on resumes sp beyond,2.0,0.0,0.0,0.0,0.0,0.0,1.0
4iG0ffmnCOw[9],resumes sp beyond sp that sp i actually excelled academically from some of my decisions the sp second i started,0.67,0.0,0.0,0.0,0.0,0.0,0.0
4iG0ffmnCOw[10],skyrocketed sp just sp make sure sp that you're on campus more the longer you're on campus sp it's sp statistically sp shown that your sp grades are going to increase sp so sp getting involved sp is sp beneficial across the board for sp students i think sp,1.33,0.33,0.0,0.0,0.0,0.0,0.0
81406[0],sp keanu reeves has risen to be one of sp the uhh most popular sp uhh sp action stars sp of sp pretty much in the last probably a decade sp uhh,1.0,0.33,0.0,0.0,0.0,0.0,0.0
81406[1],sp uhh he however did get started sp making sp uhh oh sp rather bad sp films sp,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
81406[2],sp point sp break sp is one of his worst sp,-2.33,0.0,0.0,1.0,0.0,0.0,0.0
81406[3],sp point sp break sp he sp plays this sp a sp young agent sp that uhh sp pretty much goes on sp uhh or starts with a sp company sp and has a sp partner gary busey who is a little bit more sp uhh sp experienced sp he,0.33,0.33,0.33,0.0,0.0,0.0,0.0
81406[4],experienced sp he gives undercover and becomes a surfer sp and someone who's generally addicted sp to extreme sports sp he meets,0.67,0.33,0.0,0.0,0.0,0.0,0.0
81406[5],sports sp he meets up with sp uhh sp patrick swayze sp which sp stutter the is known as the world's most sp man sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81406[6],sp they sp uhh sp work together sp yeah sp to uncover busey and keanu reeves work together to uncover sp uhh sp a sp string of bank robberies sp that sp are sp portrayed sp uhh stutter sp that are done by the uhh sp surfer gang sp that keanu reeves joins sp,0.0,0.0,0.0,0.67,0.0,0.67,0.67
81406[7],umm sp there's also skydiving sp umm sp bad acting sp and in general just sp mayhem sp the movie,-2.0,0.0,0.0,0.67,0.0,0.67,0.0
qyJiDgtj6YE[0],line sp they do get sp a special sp venue sp because they were the lobbyists they were the ones who put up those special dollars sp and,-0.33,0.0,0.0,0.67,0.0,0.33,0.0
qyJiDgtj6YE[1],line sp i would say to them look i know you have an opinion sp but you're paid to have that opinion sp i want,0.0,0.33,0.0,0.67,0.0,0.33,0.0
qyJiDgtj6YE[2],opinion sp i want the opinions of the people sp not sp the special interests henderson so public,0.33,0.0,0.0,0.33,0.0,1.33,0.0
qyJiDgtj6YE[3],sp honestly this is kind of interesting wal mart sp went down to mexico here a few years ago and they said we want to build a new wal mart and the people around there said well gee that's where our ancestors are buried sp,-0.67,0.0,0.0,1.0,0.33,0.33,0.0
qyJiDgtj6YE[4],again sp henderson so as president what would you do to change that sp schweitzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qyJiDgtj6YE[5],that sp schweitzer sp well to start with if you look at my record in montana sp i was elected without taking a penny of special interest money i didn't take any,1.0,0.33,0.0,0.0,0.0,0.0,0.0
qyJiDgtj6YE[6],re elected i didn't demand at the other side sp i didn't even challenge them not to sp but,0.0,0.0,0.0,0.67,0.0,0.0,0.33
KI2sU-mhM44[0],sp so i want to start by talking about the student debt crisis sp today,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KI2sU-mhM44[1],students sp so sp let me start this way sp and that is sp listen sp to the debate on the democratic side sp we're,0.67,0.33,0.0,0.67,0.0,0.0,0.0
KI2sU-mhM44[2],side sp we're talking about should it be free college or debt sp free college sp that's sp where sp we're going back and forth and trying to have a how are sp we going sp to pay for it how do the pieces work to make that happen sp can we,0.67,1.33,0.0,0.0,0.0,0.0,0.0
KI2sU-mhM44[3],happen sp can we just draw the distinction about what it looks like sp on the other side of the grand canyon sp where sp the republicans sp are not talking about how to reduce sp the cost we've got a guy,-1.33,0.0,0.0,0.67,0.33,1.0,0.0
KI2sU-mhM44[4],students sp we've got a republican party sp that consistently blocked refinancing any of the student loan debt sp,-2.67,0.0,0.33,2.0,0.0,1.67,0.33
